Model,CriticEval_obj_test,CriticEval_obj_dev,CriticBench
10,49.97,53.51,63.51
09,57.29,63.46,71.32
08,56.83,60.36,71.66
07,53.91,56.31,70.57
06,52.41,57.54,70.49
05,51.15,56.01,67.59
04,50.41,55.98,67.67
03,48.44,50.40,60.35
02,47.90,50.17,56.92
01,46.61,49.08,50.18
00,46.57,48.56,49.32
