Model,Mode,CriticEval_obj,CriticEval_sub,CriticBench
baseline,dev,56.63,4.12,63.67
baseline,test,45.75,4.17,63.67
200,dev,53.18,4.18,66.17
200,test,49.79,4.07,66.27
400,dev,53.41,4.21,67.10
400,test,45.24,4.17,67.10
1000,dev,56.70,4.24,68.30
1000,test,50.88,4.22,68.30
2000,dev,57.80,5.12,70.00
2000,test,51.84,5.14,70.00
4000,dev,54.44,4.90,67.05
4000,test,50.70,4.78,67.05
baseline_6000,dev,53.0,4.99,70.56
baseline_6000,test,46.73,4.94,70.56
