model,mode,criticeval
0.0,dev,43.56
0.0,test,46.44
0.1,dev,45.00
0.1,test,45.11
0.2,dev,47.11
0.2,test,46.00
0.3,dev,45.33
0.3,test,45.56
0.4,dev,46.44
0.4,test,45.33
0.5,dev,47.56
0.5,test,44.67
0.6,dev,44.89
0.6,test,44.57
0.7,dev,44.67
0.7,test,45.98
0.8,dev,45.11
0.8,test,45.56
0.9,dev,45.56
0.9,test,46.00
1.0,dev,47.78
1.0,test,44.67
