model,CriticEval_obj_test,CriticEval_sub_test,CriticBench
internlm2,44.39,3.77,24.71
baseline,45.75,4.17,63.67
iter_0,49.76,4.96,63.19
iter_1,51.28,5.06,61.15
iter_2,54.20,4.98,67.63
iter_3,46.98,5.00,65.88
